  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD
   -2  4191  4096     4100   0  10  0   658536   6880 -      S                   0 ??         0:02.42 /Applications/XAMPP/xamppfiles/sbin/mysqld --basedir=/Applications/XAMPP/xamppfiles --datadir=/Applications/XAMPP/xamppfiles/var/mysql --user=nobody --log-error=/Applications/XAMPP/xamppfiles/var/mysql/Macs-MacBook-Pro.local.err --pid-file=/Applications/XAMPP/xamppfiles/var/mysql/Macs-MacBook-Pro.local.pid --socket=/Applications/XAMPP/xamppfiles/var/mysql/mysql.sock --port=3306
    0  4195     1        0   0  31  0   660100  11552 -      Ss                  0 ??         0:00.82 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4196  4195      100   0  31  0   646548    608 -      S                   0 ??         0:00.00 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4199  4195      100   0  31  0   661892   7928 -      S                   0 ??         0:00.20 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4200  4195      100   0  31  0   661892  10112 -      S                   0 ??         0:00.85 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4203  4195      100   0  31  0   661892   9112 -      S                   0 ??         0:00.09 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4207  4195      100   0  31  0   661892   9876 -      S                   0 ??         0:00.46 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4210  4195      100   0  31  0   660100   2320 -      S                   0 ??         0:00.01 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4211  4195      100   0  31  0   660100   2284 -      S                   0 ??         0:00.01 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4216  4195      100   0  31  0   660100   2108 -      S                   0 ??         0:00.01 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4217  4195      100   0  31  0   660100   2328 -      S                   0 ??         0:00.01 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   -2  4225  4195      100   0  31  0   660100   2340 -      S                   0 ??         0:00.00 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
  501  4420     1     4004   0   4  0  3783220  68504 -      Ss                  0 ??         0:05.10 com.apple.WebKit.WebContent
  501  4447   283     4080   0   4  0  1121928 297508 -      S                   0 ??         1:18.78 /Applications/Adobe Reader.app/Contents/MacOS/AdobeReader -psn_0_913631
  501  4453   283     4004   0  33  0  2491960   4648 -      S                   0 ??         0:00.08 /System/Library/PrivateFrameworks/HelpData.framework/Versions/A/Resources/helpd
  222  4578     1     4004   0   4 20  2492828   4104 -      SNs                 0 ??         0:00.09 /usr/sbin/netbiosd
    0  4589     1     4004   0  63  0  2493472   4192 -      Ss                  0 ??         0:00.21 /usr/sbin/ocspd
  501  4654   283     4080   0   4  0   708400  13280 -      S                   0 ??         0:00.63 /Applications/XAMPP/XAMPP Control.app/Contents/MacOS/XAMPP Control
   -2  4662  4195      100   0  31  0   660100   1212 -      S                   0 ??         0:00.00 /Applications/XAMPP/xamppfiles/bin/httpd -E /Applications/XAMPP/xamppfiles/logs/error_log -k start -DPHP
   89  4722   522    84004   0   4 17  2513392  18948 -      UN                  0 ??         0:42.22 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
   89  4723   522    84004   0   4 17  2511580  14360 -      UN                  0 ??         0:04.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
   89  4724   522    84004   0   4 17  2510784  13712 -      UN                  0 ??         0:04.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
   89  4725   522    84004   0   4 17  2486880  13528 -      UN                  0 ??         0:04.18 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
   89  4726   522    84000   0   4 17   685336   9492 -      SN                  0 ??         0:00.43 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker32 -s mdworker-lsb -c MDSImporterWorker -m com.apple.mdworker.32bit
    0  4619   307     4106   0  33  0  2468788   2160 -      Ss                  0 ttys000    0:00.11 login -pf mac
  501  4620  4619     4006   0  31  0  2444632   1412 -      S                   0 ttys000    0:00.10 -bash
    0  4727  4620     4106   0  31  0  2432800    720 -      R+                  0 ttys000    0:00.01 ps -alx
